# theta   test_rmse   base_rmse
3.933e-03 9.653e-02 9.653e-02
1.988e-03 7.623e-02 7.623e-02
1.005e-03 5.670e-02 5.670e-02
5.079e-04 3.995e-02 3.995e-02
2.564e-04 2.729e-02 2.729e-02
1.295e-04 2.090e-02 2.090e-02
6.543e-05 1.926e-02 1.926e-02
3.312e-05 1.924e-02 1.924e-02
1.674e-05 1.932e-02 1.932e-02
8.412e-06 1.932e-02 1.932e-02
