# theta   test_rmse   base_rmse
3.425e-06 3.696e-05 3.696e-05
1.714e-06 3.171e-05 3.171e-05
8.572e-07 2.941e-05 2.941e-05
4.288e-07 2.915e-05 2.915e-05
2.145e-07 2.909e-05 2.909e-05
1.073e-07 9.149e-05 9.149e-05
5.367e-08 1.639e-04 1.639e-04
2.685e-08 2.414e-04 2.414e-04
1.343e-08 2.674e-04 2.674e-04
6.716e-09 2.113e-03 2.113e-03
