# theta   test_rmse   base_rmse
1.428e-04 7.593e-04 7.593e-04
7.162e-05 5.724e-04 5.724e-04
3.593e-05 4.070e-04 4.070e-04
1.803e-05 3.511e-04 3.511e-04
9.047e-06 3.631e-04 3.631e-04
4.546e-06 3.769e-04 3.769e-04
2.285e-06 5.961e-04 5.961e-04
1.148e-06 7.467e-04 7.467e-04
5.793e-07 1.370e-03 1.370e-03
2.947e-07 1.473e-03 1.473e-03
1.524e-07 4.326e-03 4.326e-03
