x,rho,u,p
0.15644556,1.006405,-0.0051925406,0.99882966
0.15769713,1.0064136,-0.005203806,0.998828
0.15894869,1.0064222,-0.0052151904,0.9988263
0.16020025,1.0064309,-0.005226217,0.99882495
0.16145182,1.0064397,-0.005237244,0.9988236
0.16270338,1.0064485,-0.0052483305,0.9988221
0.16395494,1.0064576,-0.0052593574,0.99882084
0.1652065,1.0064666,-0.0052702054,0.9988195
0.16645807,1.0064758,-0.005281113,0.99881834
0.16770963,1.0064852,-0.0052923188,0.9988174
0.1689612,1.0064948,-0.005303167,0.9988163
0.17021276,1.0065045,-0.005314134,0.9988156
0.17146432,1.0065141,-0.0053251013,0.99881464
0.17271589,1.0065243,-0.0053365454,0.99881417
0.17396747,1.0065343,-0.005347453,0.9988136
0.17521903,1.0065447,-0.0053587183,0.9988131
0.1764706,1.0065554,-0.0053698644,0.99881285
0.17772216,1.0065663,-0.00538107,0.9988128
0.17897372,1.0065773,-0.005392574,0.99881256
0.18022528,1.0065885,-0.005404137,0.99881274
0.18147685,1.0065999,-0.005415462,0.998813
0.18272841,1.0066118,-0.0054272637,0.99881333
0.18397997,1.006624,-0.0054391846,0.9988139
0.18523154,1.0066364,-0.005451344,0.99881476
0.1864831,1.006649,-0.005463384,0.9988157
0.18773466,1.006662,-0.0054757223,0.9988169
0.18898623,1.0066754,-0.0054880604,0.9988181
0.19023779,1.0066892,-0.005500518,0.99881977
0.19148937,1.0067031,-0.0055130944,0.99882144
0.19274093,1.0067176,-0.0055260286,0.9988236
0.1939925,1.0067325,-0.005539082,0.9988261
0.19524406,1.0067478,-0.005552374,0.9988286
0.19649562,1.0067635,-0.0055656657,0.99883157
0.19774719,1.0067797,-0.0055790767,0.9988349
0.19899875,1.0067965,-0.005592786,0.99883866
0.20025031,1.0068136,-0.005606614,0.9988426
0.20150188,1.0068314,-0.0056204423,0.9988471
0.20275344,1.0068496,-0.0056346282,0.9988521
0.204005,1.0068687,-0.0056490526,0.9988577
0.20525657,1.0068883,-0.005663596,0.99886364
0.20650813,1.0069087,-0.0056784377,0.99887025
0.2077597,1.0069296,-0.0056931004,0.9988774
0.20901126,1.0069515,-0.005708359,0.99888515
0.21026284,1.0069741,-0.0057234988,0.9988937
0.2115144,1.0069976,-0.005739175,0.9989028
0.21276596,1.007022,-0.005754851,0.998913
