# theta   test_rmse   base_rmse
1.428e-04 1.120e-04 1.120e-04
7.162e-05 5.075e-05 5.075e-05
3.593e-05 1.364e-05 1.364e-05
1.803e-05 3.228e-06 3.228e-06
9.047e-06 2.052e-06 2.052e-06
4.546e-06 2.852e-05 2.852e-05
2.285e-06 1.705e-04 1.705e-04
1.148e-06 1.826e-04 1.826e-04
5.793e-07 3.654e-04 3.654e-04
2.947e-07 1.102e-03 1.102e-03
1.524e-07 2.634e-03 2.634e-03
