# theta   test_rmse   base_rmse
1.428e-04 3.345e-04 3.345e-04
7.162e-05 2.381e-04 2.381e-04
3.593e-05 1.461e-04 1.461e-04
1.803e-05 1.480e-04 1.480e-04
9.047e-06 1.551e-04 1.551e-04
4.546e-06 1.613e-04 1.613e-04
2.285e-06 1.889e-04 1.889e-04
1.148e-06 4.968e-04 4.968e-04
5.793e-07 1.617e-03 1.617e-03
2.947e-07 1.640e-03 1.640e-03
1.524e-07 2.787e-03 2.787e-03
