x,rho_exact,rho_fdm,rho_present,rho_muscl_tvd,u_exact,u_fdm,u_present,u_muscl_tvd,P_exact,P_fdm,P_present,P_muscl_tvd
8.80000000e-02,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,2.11613078e-13,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
9.20000000e-02,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,4.16196602e-13,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
9.60000000e-02,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,8.60480073e-13,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
1.00000000e-01,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,1.65014590e-12,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
1.04000000e-01,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,2.81183141e-12,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
1.08000000e-01,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,0.00000000e+00,3.99386508e-12,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
1.12000000e-01,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,1.86702222e-17,3.72208044e-12,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
1.16000000e-01,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,1.77567167e-16,-2.12884734e-12,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
1.20000000e-01,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,7.86538614e-16,-2.31593713e-11,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
1.24000000e-01,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,2.56856595e-15,-7.91044861e-11,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
1.28000000e-01,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,7.90829070e-15,-2.06585817e-10,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
1.32000000e-01,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,2.38388818e-14,-4.67379859e-10,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
1.36000000e-01,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,7.04830236e-14,-9.56158022e-10,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
1.40000000e-01,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,2.04347982e-13,-1.80346101e-09,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
1.44000000e-01,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,5.81127166e-13,-3.16736200e-09,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00
1.48000000e-01,1.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000000e+00,0.00000000e+00,1.62004350e-12,-5.20625360e-09,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000001e+00,1.00000000e+00
1.52000000e-01,1.00000000e+00,1.00000000e+00,1.00000001e+00,1.00000000e+00,0.00000000e+00,4.42758860e-12,-8.02639804e-09,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000001e+00,1.00000000e+00
1.56000000e-01,1.00000000e+00,1.00000000e+00,1.00000001e+00,1.00000000e+00,0.00000000e+00,1.18612315e-11,-1.16024349e-08,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000001e+00,1.00000000e+00
1.60000000e-01,1.00000000e+00,1.00000000e+00,1.00000001e+00,1.00000000e+00,0.00000000e+00,3.11450566e-11,-1.56769751e-08,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000002e+00,1.00000000e+00
1.64000000e-01,1.00000000e+00,1.00000000e+00,1.00000002e+00,1.00000000e+00,0.00000000e+00,8.01532752e-11,-1.96582953e-08,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000002e+00,1.00000000e+00
1.68000000e-01,1.00000000e+00,1.00000000e+00,1.00000002e+00,1.00000000e+00,0.00000000e+00,2.02163310e-10,-2.25624115e-08,0.00000000e+00,1.00000000e+00,1.00000000e+00,1.00000003e+00,1.00000000e+00
1.72000000e-01,1.00000000e+00,1.00000000e+00,1.00000002e+00,1.00000000e+00,0.00000000e+00,4.99693346e-10,-2.30981898e-08,0.00000000e+00,1.00000000e+00,9.99999999e-01,1.00000003e+00,1.00000000e+00
1.76000000e-01,1.00000000e+00,9.99999999e-01,1.00000002e+00,1.00000000e+00,0.00000000e+00,1.21030585e-09,-2.00482201e-08,0.00000000e+00,1.00000000e+00,9.99999999e-01,1.00000002e+00,1.00000000e+00
1.80000000e-01,1.00000000e+00,9.99999998e-01,1.00000001e+00,1.00000000e+00,0.00000000e+00,2.87240557e-09,-1.30509482e-08,0.00000000e+00,1.00000000e+00,9.99999997e-01,1.00000002e+00,1.00000000e+00
